"locationID","ancientcity","ancientregion","country","lat","longi"
"C0XM1ZZTAC","Venafro","Italy","Italy",41.48401344,14.03844823
"GDFEGFGWI8","Saint-Sauveur-en-Puisaye","(blank)","France",47.61621,3.19783
"79MSPKQKST","Tkow","Egypt","Egypt",26.9,31.516667
"E3ODI5EXCH","Pentale","(blank)","France",49.40027,0.44736
"7JK6UAARPP","Elaea","Asia Minor","Turkey",38.95,27.04
"O8ZSZZC6TD","Capidava","(blank)","Romania",44.498451,28.090736
"0G85I7FD5H","Carpasia","Cyprus","Northern Cyprus",35.626206,34.369934
"BHURDASYHZ","Venosa","Italy","Italy",40.96888039,15.82745795
"PEPP710HRA","Cenchreae","Corinth","Greece",37.88329467,22.98969233
"MEK6B8L7F0","Beneventum","Campania","Italy",45.43771,10.727138
"RMZ0ZUA6FF","Beirut","Phoenicia Prima","Lebanon",33.8985935,35.511241
"XZQZ4FPE7M","Corydallus","Lycia","Greece",37.98333333,23.65
"BR8G3DEPBL","Grigny","(blank)","France",45.6089,4.79203
"SJG0SBJTDM","Taua/Taya","(blank)","Egypt",30.7709265,31.004611
"P8S5UE3KMC","Darnis","(blank)","Libya",32.7660775,22.6404775
"4JKO1CLW6U","","Lycia et Pamphylia","Turkey",37.5,27.5
"MLWCOZPRDN","Verisa/Berisa","(blank)","Turkey",40.102781,36.484083
"IV4SPHJUSI","Cluny","Gaul","France",46.4353,4.66
"C5TKU5YMO8","Thagaste - Tagaste - Souk Ahras","Numidia","Algeria",36.28611111,7.95111111
"NQF8XC3M2L","Nancy","Gaul","France",48.69138889,6.18638889
"YKN3KTHYMD","Cidyessus","West-Central Phrygia","Turkey",38.74297,30.1908445
"9QMQBHUQZU","Sinai","Egypt","Egypt",28.555556,33.976111
"I8R08MWGIG","Mareia","(blank)","Egypt",30.99482,29.656394
"8DI2HTQN0V","Arethusa - Aretusa","Syria","Syria",34.960169,36.735111
"F6WI33XTTL","Sorrento","Italy","Italy",40.62611111,14.37611111
"OWKJYD7OIE","Abitinæ","Tunisia","Tunisia",36.62800744,9.549025989
"2YPYAUOGER","Kilpatrick","Scotland","United Kingdom",55.925,-4.45916667
"CTZR50OWG5","Hierapolis","Phrygia","Turkey",37.925,29.12583333
"MDI24TPCVT","Abydos","Egypt","Egypt",26.185,31.918889
"9JYKIBY6K7","Gazara","(blank)","Israel",31.866353,34.920181
"YU8ZMQQGUO","Elousa","(blank)","Israel",31.09686232,34.65512467
"9V1AGHR82R","Cervidunum","(blank)","France",47.24165,3.75577
"UZYZ1P2OKC","Signia - Segni","Latium et Campania","Italy",41.691453,13.022225
"1R963KZ2LN","Zamora","Valladolid","Spain",41.50633,-5.74456
"NTST3D9N4A","Avarayr","Armenia","Iran",39.336407,45.060238
"H1DZIS1PRM","Seleucia Trachea","Asia Minor","Turkey",36.37611111,33.93222222
"MJU5G4ZPSP","Mimas","Gaul","France",44.5180195,3.498093
"IIM5Y7I53D","Curia - Chur - Luria","Raetia","Switzerland",46.8485485,9.533107
"ZZSJMOFXSM","Vintium - Vence","Alpes Maritimae","France",43.722738,7.113504
